type,parent_name,name,url,status
category,"Audio, Kamera & Elektronik Lainnya",Cleaning Kit Kamera,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/cleaning-tools-kamera/cleaning-kit-kamera,
category,"Audio, Kamera & Elektronik Lainnya",Cleaning Swab,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/cleaning-tools-kamera/cleaning-swab,
category,"Audio, Kamera & Elektronik Lainnya",Dry Box Kamera,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/cleaning-tools-kamera/dry-box-kamera,
category,"Audio, Kamera & Elektronik Lainnya",Lenspen,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/cleaning-tools-kamera/lenspen,
category,"Audio, Kamera & Elektronik Lainnya",Rubber Dust Air Blower,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/cleaning-tools-kamera/rubber-dust-air-blower,
category,"Audio, Kamera & Elektronik Lainnya",Cleaning Tools Kamera,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/cleaning-tools-kamera,
category,"Audio, Kamera & Elektronik Lainnya",Aksesoris Drone,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/drone-aksesoris/aksesoris-drone,
category,"Audio, Kamera & Elektronik Lainnya",Drone Kamera,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/drone-aksesoris/drone-kamera,
category,"Audio, Kamera & Elektronik Lainnya",Drone Remote Control,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/drone-aksesoris/drone-remote-control,
category,"Audio, Kamera & Elektronik Lainnya",Tas Drone,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/drone-aksesoris/tas-drone,
category,"Audio, Kamera & Elektronik Lainnya",Drone & Aksesoris,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/drone-aksesoris,
category,"Audio, Kamera & Elektronik Lainnya",Album Foto,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/frame-album-roll-film/album-foto,
category,"Audio, Kamera & Elektronik Lainnya",DVs,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/frame-album-roll-film/dvs,
category,"Audio, Kamera & Elektronik Lainnya",Frame Digital,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/frame-album-roll-film/frame-digital,
category,"Audio, Kamera & Elektronik Lainnya",Frame Foto,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/frame-album-roll-film/frame-foto,
category,"Audio, Kamera & Elektronik Lainnya",Printer Foto,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/frame-album-roll-film/printer-foto,
category,"Audio, Kamera & Elektronik Lainnya",Printer Foto Portable,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/frame-album-roll-film/printer-foto-portable,
category,"Audio, Kamera & Elektronik Lainnya",Refilll Kamera Instan,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/frame-album-roll-film/refilll-kamera-instan,
category,"Audio, Kamera & Elektronik Lainnya",Roll Film,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/frame-album-roll-film/roll-film,
category,"Audio, Kamera & Elektronik Lainnya","Frame, Album & Roll Film",https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/frame-album-roll-film,
category,"Audio, Kamera & Elektronik Lainnya",Disposable Camera,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/kamera-analog/disposable-camera,
category,"Audio, Kamera & Elektronik Lainnya",Kamera Film,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/kamera-analog/kamera-film,
category,"Audio, Kamera & Elektronik Lainnya",Kamera Instan,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/kamera-analog/kamera-instan,
category,"Audio, Kamera & Elektronik Lainnya",Kamera Lomo,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/kamera-analog/kamera-lomo,
category,"Audio, Kamera & Elektronik Lainnya",Kamera Analog,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/kamera-analog,
category,"Audio, Kamera & Elektronik Lainnya",Action Camera,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/kamera-digital/action-camera,
category,"Audio, Kamera & Elektronik Lainnya",Kamera 360,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/kamera-digital/kamera-360,
category,"Audio, Kamera & Elektronik Lainnya",Kamera DSLR,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/kamera-digital/kamera-dslr,
category,"Audio, Kamera & Elektronik Lainnya",Kamera Mirrorless,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/kamera-digital/kamera-mirrorless,
category,"Audio, Kamera & Elektronik Lainnya",Kamera Pocket,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/kamera-digital/kamera-pocket,
category,"Audio, Kamera & Elektronik Lainnya",Kamera Digital,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/kamera-digital,
category,"Audio, Kamera & Elektronik Lainnya",DVR,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/kamera-pengintai/dvr,
category,"Audio, Kamera & Elektronik Lainnya",Fake Camera,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/kamera-pengintai/fake-camera,
category,"Audio, Kamera & Elektronik Lainnya",IP Camera,https://www.tokopedia.com/p/audio-kamera-elektronik-lainnya/kamera-pengintai/ip-camera,
